id,geokret,lat,lon,elevation,country,distance,waypoint,author,comment,pictures_count,comments_count,username,app,app_ver,created_on_datetime,moved_on_datetime,updated_on_datetime,move_type,position,comment_hidden
6117177,102330,NULL,NULL,NULL,NULL,0,NULL,26422,rr,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:55:20+00,2025-09-28 14:53:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117176,102330,NULL,NULL,NULL,NULL,0,NULL,26422,rr,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:54:18+00,2025-09-28 14:54:12+00,2025-09-28 14:55:33+00,3,NULL,False
6117175,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:53:28+00,2025-09-27 14:42:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117174,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:51:50+00,2025-09-27 14:43:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117173,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:51:38+00,2025-09-27 14:44:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117172,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:51:12+00,2025-09-27 14:45:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117171,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:50:38+00,2025-09-27 14:46:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117170,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:50:23+00,2025-09-27 14:47:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117169,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:49:21+00,2025-09-27 14:48:00+00,2025-09-28 14:55:33+00,3,NULL,False
6117168,102330,NULL,NULL,NULL,NULL,0,NULL,26422,,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:48:49+00,2025-09-28 14:48:43+00,2025-09-28 14:55:33+00,3,NULL,False
6117167,102330,43.69365,6.86097,746,fr,0,GC5BRQK,26422,test,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:45:42+00,2025-09-28 14:34:00+00,2025-09-28 14:55:33+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117166,102330,43.69365,6.86097,746,fr,0,GC5BRQK,26422,test,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:44:52+00,2025-09-28 14:35:00+00,2025-09-28 14:55:33+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117165,102330,43.69365,6.86097,746,fr,0,GC5BRQK,26422,test,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:44:25+00,2025-09-28 14:36:00+00,2025-09-28 14:55:33+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117164,102330,43.69365,6.86097,746,fr,0,GC5BRQK,26422,test,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:43:27+00,2025-09-28 14:37:00+00,2025-09-28 14:55:33+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117163,102330,43.69365,6.86097,746,fr,0,GC5BRQK,26422,test,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:41:43+00,2025-09-28 14:38:00+00,2025-09-28 14:55:33+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117162,102330,43.69365,6.86097,746,fr,0,GC5BRQK,26422,test,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:40:48+00,2025-09-28 14:40:01+00,2025-09-28 14:55:33+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117159,102330,NULL,NULL,NULL,NULL,NULL,NULL,NULL,📦 GeoKrety removed from parked state,0,0,GeoKrety Bot,NULL,NULL,2025-09-14 12:52:18+00,2025-09-14 12:52:18+00,2025-09-14 12:52:18+00,2,NULL,False
6117160,102326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,🪤 GeoKrety set as collectible,0,0,GeoKrety Bot,NULL,NULL,2025-09-14 12:52:18+00,2025-09-14 12:52:18+00,2025-09-14 12:52:18+00,2,NULL,False
6117157,102326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,🪤 GeoKrety set as non-collectible,0,0,GeoKrety Bot,NULL,NULL,2025-09-13 07:43:58+00,2025-09-13 07:43:58+00,2025-09-13 07:43:58+00,2,NULL,False
6117156,102326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,📦 GeoKrety removed from parked state,0,0,GeoKrety Bot,NULL,NULL,2025-09-13 07:41:39+00,2025-09-13 07:41:39+00,2025-09-13 07:41:39+00,2,NULL,False
6117155,102326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,📦 GeoKrety set as parked,0,0,GeoKrety Bot,NULL,NULL,2025-09-13 07:22:25+00,2025-09-13 07:22:24+00,2025-09-13 07:22:25+00,2,NULL,False
6117154,102326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,🪤 GeoKrety set as non-collectible,0,0,GeoKrety Bot,NULL,NULL,2025-09-13 07:14:51+00,2025-08-12 00:00:00+00,2025-09-13 07:14:51+00,2,NULL,False
6117097,46657,NULL,NULL,NULL,NULL,0,NULL,26422,foo,0,0,NULL,www,v2.57.11-2-ga9fde4ad,2025-09-05 18:00:49+00,2025-09-05 18:00:43+00,2026-02-19 13:33:03+00,3,NULL,False
6117096,46657,NULL,NULL,NULL,NULL,NULL,NULL,26422,asdasd,0,3,NULL,www,v2.57.11-2-ga9fde4ad,2025-08-29 16:41:17+00,2025-08-29 16:38:55+00,2025-09-05 18:03:43+00,2,NULL,False
